Name,StringID,X,Y,Tilt,Azimuth
Table_000,INV01-STR001,0.0,0.0,25,180
Table_001,INV01-STR002,0.0,1600.8,25,180
Table_002,INV01-STR003,0.0,3201.6,25,180
Table_003,INV01-STR004,0.0,4802.4,25,180
Table_004,INV01-STR005,0.0,6403.2,25,180
Table_005,INV01-STR006,0.0,8003.999999999999,25,180
Table_006,INV01-STR007,0.0,9604.8,25,180
Table_007,INV01-STR008,0.0,11205.6,25,180
Table_008,INV01-STR009,0.0,12806.4,25,180
Table_009,INV01-STR010,0.0,14407.2,25,180
Table_010,INV01-STR011,0.0,16007.999999999998,25,180
Table_011,INV01-STR012,0.0,17608.8,25,180
Table_012,INV01-STR013,0.0,19209.6,25,180
Table_013,INV01-STR014,0.0,20810.399999999998,25,180
Table_014,INV01-STR015,0.0,22411.2,25,180
Table_015,INV01-STR016,0.0,24011.999999999996,25,180
Table_016,INV01-STR017,0.0,25612.8,25,180
Table_017,INV01-STR018,0.0,27213.6,25,180
Table_018,INV01-STR019,0.0,28814.4,25,180
Table_019,INV01-STR020,0.0,30415.199999999997,25,180
Table_020,INV01-STR021,700.0,0.0,25,180
Table_021,INV01-STR022,700.0,1600.8,25,180
Table_022,INV01-STR023,700.0,3201.6,25,180
Table_023,INV01-STR024,700.0,4802.4,25,180
Table_024,INV01-STR025,700.0,6403.2,25,180
Table_025,INV01-STR026,700.0,8003.999999999999,25,180
Table_026,INV01-STR027,700.0,9604.8,25,180
Table_027,INV01-STR028,700.0,11205.6,25,180
Table_028,INV01-STR029,700.0,12806.4,25,180
Table_029,INV01-STR030,700.0,14407.2,25,180
Table_030,INV01-STR031,700.0,16007.999999999998,25,180
Table_031,INV01-STR032,700.0,17608.8,25,180
Table_032,INV01-STR033,700.0,19209.6,25,180
Table_033,INV01-STR034,700.0,20810.399999999998,25,180
Table_034,INV01-STR035,700.0,22411.2,25,180
Table_035,INV01-STR036,700.0,24011.999999999996,25,180
Table_036,INV01-STR037,700.0,25612.8,25,180
Table_037,INV01-STR038,700.0,27213.6,25,180
Table_038,INV01-STR039,700.0,28814.4,25,180
Table_039,INV01-STR040,700.0,30415.199999999997,25,180
Table_040,INV01-STR041,1400.0,0.0,25,180
Table_041,INV01-STR042,1400.0,1600.8,25,180
Table_042,INV01-STR043,1400.0,3201.6,25,180
Table_043,INV01-STR044,1400.0,4802.4,25,180
Table_044,INV01-STR045,1400.0,6403.2,25,180
Table_045,INV01-STR046,1400.0,8003.999999999999,25,180
Table_046,INV01-STR047,1400.0,9604.8,25,180
Table_047,INV01-STR048,1400.0,11205.6,25,180
